sp,seed_source,id,trt,block,seedling,date_1,month_1,ht_1,rcd_1,notes_1,date_2,month_2,ht_2,rcd_2,root_2,shoot_2,rootshoot_2,notes_2,date_3,month_3,ht_3,rcd_3,root_3,shoot_3,rootshoot_3,mdwp_3,pdwp_3,notes_3,date_4,month_4,ht_4,rcd_4,root_4,shoot_4,rootshoot_4,mdwp_4,pdwp_4,100mdwp_4,100pdwp_4,notes_4,date_5,month_5,ht_5,rcd_5,notes_5
pimo,pimo,501,c,6,3,5/15/2022,May,6.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,11.4,6.05,
pimo,pimo,502,c,6,4,5/15/2022,May,5.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,10.6,5.13,
pimo,pimo,503,c,6,5,5/15/2022,May,6.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14.9,5.75,
pimo,pimo,504,c,6,6,5/15/2022,May,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.7,6.48,
pimo,pimo,x,c,6,7,5/15/2022,May,9,3,,,,,,,,,,9/6/2022,Aug/Sept,19.9,6.89,13.111,14.643,0.89537663,-1.01,-0.19,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,505,c,6,8,5/15/2022,May,7.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,30.5,6.38,
pimo,pimo,506,c,6,9,5/15/2022,May,11.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,22.6,5.66,
pimo,pimo,507,c,6,10,5/15/2022,May,8.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.7,5.88,
pimo,pimo,508,c,6,11,5/15/2022,May,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,22.5,7.51,
pimo,pimo,x,c,6,12,5/15/2022,May,10.4,3,,,,,,,,,,,,,,,,,,,,12/8/2022,December,14.3,5.75,11.909,12.528,0.950590677,-0.85,-0.72,-1.16,-0.59,maybe when GH temps started dropping?,12/12/2022,December,x,x,
pimo,pimo,509,c,6,13,5/15/2022,May,7.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19,6.31,
pimo,pimo,510,c,6,14,5/15/2022,May,9.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,15.3,7.02,
pimo,pimo,511,c,6,15,5/15/2022,May,8.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,22.4,6.58,
pimo,pimo,512,c,6,16,5/15/2022,May,9.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,12.5,5.53,
pimo,pimo,513,c,7,1,5/15/2022,May,6.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16.2,7.7,
pimo,pimo,514,c,7,2,5/15/2022,May,6.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14.3,6.14,
pimo,pimo,515,c,7,3,5/15/2022,May,6.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19.4,7.07,
pimo,pimo,516,c,7,4,5/15/2022,May,6.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16.1,6.44,
pimo,pimo,517,c,7,5,5/15/2022,May,7.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,12.5,5.68,
pimo,pimo,518,c,7,6,5/15/2022,May,4.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,11.4,4.64,
pimo,pimo,519,c,7,7,5/15/2022,May,8.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19.7,7.09,
pimo,pimo,520,c,7,8,5/15/2022,May,5.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,11.5,6.75,
pimo,pimo,521,c,7,9,5/15/2022,May,4.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14.6,6.56,
pimo,pimo,522,c,7,10,5/15/2022,May,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16.1,5.34,
pimo,pimo,523,c,7,11,5/15/2022,May,7.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,21.2,6.29,
pimo,pimo,x,c,7,12,5/15/2022,May,8.2,3.5,,6/24/2022,June,18.4,4,8.081,9.369,0.86252535,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,524,c,7,13,5/15/2022,May,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,18.2,6.63,
pimo,pimo,525,c,7,14,5/15/2022,May,9.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,23.2,6.24,
pimo,pimo,526,c,7,15,5/15/2022,May,6.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,24.5,7.25,
pimo,pimo,527,c,7,16,5/15/2022,May,6.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16.5 dead apical bud,6.3,
pimo,pimo,528,c,8,1,5/15/2022,May,6.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,18.5,6.92,
pimo,pimo,529,c,8,2,5/15/2022,May,4.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,15.7,5.09,
pimo,pimo,530,c,8,3,5/15/2022,May,5.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13.5,5.94,
pimo,pimo,531,c,8,4,5/15/2022,May,8.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19,7.38,
pimo,pimo,532,c,8,5,5/15/2022,May,4.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,12.3,6.31,
pimo,pimo,x,c,8,6,5/15/2022,May,8.3,3,,,,,,,,,,9/6/2022,Aug/Sept,12.9,5.3,9.694,12.339,0.785639031,-0.89,-0.08,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,533,c,8,7,5/15/2022,May,7.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,23.5,6.3,
pimo,pimo,534,c,8,8,5/15/2022,May,6.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,20.4,7.37,
pimo,pimo,535,c,8,9,5/15/2022,May,6.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,8.5,4.07,
pimo,pimo,536,c,8,10,5/15/2022,May,6.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.2,5.48,
pimo,pimo,537,c,8,11,5/15/2022,May,7.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,27.4,6.05,
pimo,pimo,x,c,8,12,5/15/2022,May,7.2,3,,,,,,,,,,,,,,,,,,,,12/8/2022,December,15.1,5.11,12.979,12.398,1.046862397,-1.18,-0.88,-1.01,-0.74,,12/12/2022,December,x,x,
pimo,pimo,538,c,8,13,5/15/2022,May,5.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.9,7.43,
pimo,pimo,539,c,8,14,5/15/2022,May,7.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16,6.25,
pimo,pimo,540,c,8,15,5/15/2022,May,10.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19.9,6.35,
pimo,pimo,541,c,8,16,5/15/2022,May,7.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.4,6.99,
pimo,pimo,x,c,9,1,5/15/2022,May,8.5,3.5,,,,,,,,,,,,,,,,,,,,12/8/2022,December,16,6.83,20.116,17.269,1.164861891,-1.02,-0.56,-1.31,-0.76,,12/12/2022,December,x,x,
pimo,pimo,542,c,9,2,5/15/2022,May,7.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,16.5,6.47,
pimo,pimo,543,c,9,3,5/15/2022,May,8.3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,21.9,7.71,
pimo,pimo,544,c,9,4,5/15/2022,May,7.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,17.4,6.29,
pimo,pimo,545,c,9,5,5/15/2022,May,5.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14.5,5.72,
pimo,pimo,546,c,9,6,5/15/2022,May,6.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,15.1,6.44,
pimo,pimo,547,c,9,7,5/15/2022,May,4.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,22.9,5.81,
pimo,pimo,548,c,9,8,5/15/2022,May,7.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,21.2,7.05,
pimo,pimo,549,c,9,9,5/15/2022,May,9.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,23.5,8.14,
pimo,pimo,550,c,9,10,5/15/2022,May,5.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14,3.89,
pimo,pimo,551,c,9,11,5/15/2022,May,7.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13.7,5.35,
pimo,pimo,x,c,9,12,5/15/2022,May,7.1,3.5,,,,,,,,,,9/6/2022,Aug/Sept,10.6,5.98,11.87,15.626,0.759631384,-1.31,-0.25,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,552,c,9,13,5/15/2022,May,6.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13.1,4.98,
pimo,pimo,553,c,9,14,5/15/2022,May,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,19.2,6.58,
pimo,pimo,554,c,9,15,5/15/2022,May,6.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,24.1,7.85,
pimo,pimo,555,c,9,16,5/15/2022,May,5.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,11,5.9,
pimo,pimo,556,c,10,1,5/15/2022,May,7.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,21.6,7.12,
pimo,pimo,557,c,10,2,5/15/2022,May,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,23.9,5.85,
pimo,pimo,558,c,10,3,5/15/2022,May,10.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,22.1,6.4,
pimo,pimo,559,c,10,4,5/15/2022,May,6.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13.4,4.6,
pimo,pimo,560,c,10,5,5/15/2022,May,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,20,7.83,
pimo,pimo,561,c,10,6,5/15/2022,May,6.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,18.5,6.31,
pimo,pimo,x,c,10,7,5/15/2022,May,7.8,3,,,,,,,,,,,,,,,,,,,,12/8/2022,December,20,5.86,14.31,13.793,1.037482781,-1.13,-0.65,-1.1,-0.56,,12/12/2022,December,x,x,
pimo,pimo,562,c,10,8,5/15/2022,May,7.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,11.9,4.27,
pimo,pimo,563,c,10,9,5/15/2022,May,9.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,24.8,7.75,
pimo,pimo,564,c,10,10,5/15/2022,May,6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,22.3,5.23,
pimo,pimo,565,c,10,11,5/15/2022,May,6.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,13,4.57,
pimo,pimo,x,c,10,12,5/15/2022,May,6.9,3,,,,,,,,,,9/6/2022,Aug/Sept,11.7,5.65,11.452,12.942,0.884870963,-1.65,-0.39,,,,,,,,,,,,,,12/12/2022,December,x,x,
pimo,pimo,594,c,10,13,5/15/2022,May,5.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14.5,5.07,
pimo,pimo,595,c,10,14,5/15/2022,May,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,20.4,6.93,
pimo,pimo,596,c,10,15,5/15/2022,May,8.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,14.4,7.35,
pimo,pimo,597,c,10,16,5/15/2022,May,6.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,11.1,5.99,
pimo,pimo,566,c,11,1,5/15/2022,May,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2022,December,15.7,5.04,
